movie_title,release_month,production_budget,worldwide_gross,ROI,genres,director_name
The Legend of Tarzan,Jul,180000000.0,348902025.0,168902025.0,"Action,Adventure,Drama",David Yates
Hugo,Nov,180000000.0,180047784.0,47784.0,"Adventure,Drama,Family",Martin Scorsese
Valerian and the City of a Thousand Planets,Jul,180000000.0,215098356.0,35098356.0,"Action,Adventure,Fantasy",Luc Besson
Jupiter Ascending,Feb,179000000.0,181982519.0,2982519.0,"Action,Adventure,Sci-Fi",Lilly Wachowski
X-Men: Apocalypse,May,178000000.0,542537546.0,364537546.0,"Action,Adventure,Sci-Fi",Bryan Singer
The Meg,Aug,178000000.0,529530715.0,351530715.0,"Action,Horror,Sci-Fi",Jon Turteltaub
Edge of Tomorrow,Jun,178000000.0,370541256.0,192541256.0,"Action,Sci-Fi",Doug Liman
Captain Marvel,Mar,175000000.0,1123061550.0,948061550.0,"Action,Adventure,Sci-Fi",Ryan Fleck
The Jungle Book,Apr,175000000.0,962854547.0,787854547.0,Animation,Jun Falkenstein
The Jungle Book,Dec,27000000.0,44342956.0,17342956.0,Animation,Jun Falkenstein
Inside Out,Jun,175000000.0,854235992.0,679235992.0,"Crime,Drama",Artie Mandelberg
Spider-Man: Homecoming,Jul,175000000.0,880166350.0,705166350.0,"Action,Adventure,Sci-Fi",Jon Watts
Suicide Squad,Aug,175000000.0,746059887.0,571059887.0,"Action,Adventure,Fantasy",David Ayer
King Arthur: Legend of the Sword,May,175000000.0,139630336.0,-35369664.0,"Action,Adventure,Drama",Guy Ritchie
47 Ronin,Dec,175000000.0,151716815.0,-23283185.0,"Action,Adventure,Drama",Carl Rinsch
Jurassic World: Fallen Kingdom,Jun,170000000.0,1305772799.0,1135772799.0,"Action,Adventure,Sci-Fi",J.A. Bayona
Guardians of the Galaxy,Aug,170000000.0,770867516.0,600867516.0,"Action,Adventure,Comedy",James Gunn
Captain America: The Winter Soldier,Apr,170000000.0,714401889.0,544401889.0,"Action,Adventure,Sci-Fi",Anthony Russo
Dawn of the Planet of the Apes,Jul,170000000.0,710644566.0,540644566.0,"Action,Adventure,Drama",Matt Reeves
Snow White and the Huntsman,Jun,170000000.0,401021746.0,231021746.0,"Action,Adventure,Drama",Rupert Sanders
Dumbo,Mar,170000000.0,345004422.0,175004422.0,"Adventure,Family,Fantasy",Tim Burton
Tomorrowland,May,170000000.0,206627518.0,36627518.0,"Action,Adventure,Family",Brad Bird
Alita: Battle Angel,Feb,170000000.0,402976036.0,232976036.0,"Action,Adventure,Sci-Fi",Robert Rodriguez
Godzilla: King of the Monsters,May,170000000.0,299276941.0,129276941.0,"Action,Adventure,Fantasy",Michael Dougherty
Alice Through the Looking Glass,May,170000000.0,276928112.0,106928112.0,"Adventure,Family,Fantasy",James Bobin
Shrek Forever After,May,165000000.0,756244673.0,591244673.0,"Adventure,Animation,Comedy",Mike Mitchell
Doctor Strange,Nov,165000000.0,676404566.0,511404566.0,"Action,Adventure,Fantasy",Scott Derrickson
Big Hero 6,Nov,165000000.0,652127828.0,487127828.0,"Action,Adventure,Animation",Chris Williams
How to Train Your Dragon,Mar,165000000.0,494870992.0,329870992.0,"Action,Adventure,Animation",Dean DeBlois
Wreck-It Ralph,Nov,165000000.0,496511521.0,331511521.0,"Adventure,Animation,Comedy",Rich Moore
Interstellar,Nov,165000000.0,666379375.0,501379375.0,"Adventure,Drama,Sci-Fi",Christopher Nolan
Independence Day: Resurgence,Jun,165000000.0,384169424.0,219169424.0,"Action,Adventure,Sci-Fi",Roland Emmerich
Beauty and the Beast,Mar,160000000.0,1259199706.0,1099199706.0,"Drama,Fantasy,Romance",Christophe Gans
Beauty and the Beast,Nov,20000000.0,608431132.0,588431132.0,"Drama,Fantasy,Romance",Christophe Gans
Aquaman,Dec,160000000.0,1146894640.0,986894640.0,"Action,Adventure,Fantasy",James Wan
Inception,Jul,160000000.0,835524642.0,675524642.0,"Action,Adventure,Sci-Fi",Christopher Nolan
The Hunger Games: Mockingjay - Part 2,Nov,160000000.0,648986787.0,488986787.0,"Action,Adventure,Sci-Fi",Francis Lawrence
Godzilla,May,160000000.0,529076069.0,369076069.0,"Action,Adventure,Sci-Fi",Gareth Edwards
Godzilla,May,125000000.0,376000000.0,251000000.0,"Action,Adventure,Sci-Fi",Gareth Edwards
X-Men: First Class,Jun,160000000.0,355408305.0,195408305.0,"Action,Adventure,Sci-Fi",Matthew Vaughn
The Sorcerer's Apprentice,Jul,160000000.0,217986320.0,57986320.0,"Action,Adventure,Family",Jon Turteltaub
Warcraft,Jun,160000000.0,425522281.0,265522281.0,"Action,Adventure,Fantasy",Duncan Jones
The Chronicles of Narnia: The Voyage of the Dawn Treader,Dec,155000000.0,418186950.0,263186950.0,"Adventure,Family,Fantasy",Michael Apted
Pacific Rim: Uprising,Mar,155000000.0,290930148.0,135930148.0,"Action,Adventure,Sci-Fi",Steven S. DeKnight
War for the Planet of the Apes,Jul,152000000.0,489592267.0,337592267.0,"Action,Adventure,Drama",Matt Reeves
Wonder Woman,Jun,150000000.0,821133378.0,671133378.0,"Action,Adventure,Fantasy",Patty Jenkins
Frozen,Nov,150000000.0,1272469910.0,1122469910.0,"Adventure,Drama,Sport",Adam Green
Zootopia,Mar,150000000.0,1019429616.0,869429616.0,"Adventure,Animation,Comedy",Byron Howard
Moana,Nov,150000000.0,637517365.0,487517365.0,"Adventure,Animation,Comedy",Ron Clements
Thor: The Dark World,Nov,150000000.0,644602516.0,494602516.0,"Action,Adventure,Fantasy",Alan Taylor
Dunkirk,Jul,150000000.0,499837368.0,349837368.0,"Action,Drama,History",Christopher Nolan
Thor,May,150000000.0,449326618.0,299326618.0,"Action,Adventure,Fantasy",Kenneth Branagh
Kung Fu Panda 2,May,150000000.0,664837547.0,514837547.0,"Action,Adventure,Animation",Jennifer Yuh Nelson
Mad Max: Fury Road,May,150000000.0,370098020.0,220098020.0,"Action,Adventure,Sci-Fi",George Miller
Ready Player One,Mar,150000000.0,579290136.0,429290136.0,"Action,Adventure,Sci-Fi",Steven Spielberg
The Last Airbender,Jul,150000000.0,319713881.0,169713881.0,"Action,Adventure,Family",M. Night Shyamalan
Wrath of the Titans,Mar,150000000.0,305270083.0,155270083.0,"Action,Adventure,Fantasy",Jonathan Liebesman
Beowulf,Nov,150000000.0,195080579.0,45080579.0,"Action,Drama,Fantasy",Zefei Liu
Dark Shadows,May,150000000.0,238202668.0,88202668.0,"Comedy,Fantasy,Horror",Tim Burton
White House Down,Jun,150000000.0,205440387.0,55440387.0,"Action,Drama,Thriller",Roland Emmerich
The Wolfman,Feb,150000000.0,142634358.0,-7365642.0,"Drama,Fantasy,Horror",Joe Johnston
The Great Wall,Feb,150000000.0,334486852.0,184486852.0,"Action,Adventure,Fantasy",Yimou Zhang
Pan,Oct,150000000.0,151525973.0,1525973.0,"Adventure,Comedy,Family",Joe Wright
Mars Needs Moms,Mar,150000000.0,39549758.0,-110450242.0,"Adventure,Animation,Family",Simon Wells
Madagascar 3: Europe's Most Wanted,Jun,145000000.0,746921271.0,601921271.0,"Adventure,Animation,Comedy",Eric Darnell
How to Train Your Dragon 2,Jun,145000000.0,614586270.0,469586270.0,"Action,Adventure,Animation",Dean DeBlois
Tarzan,Jun,145000000.0,448191819.0,303191819.0,"Adventure,Animation,Drama",Reinhard Klooss
Mr. Peabody & Sherman,Mar,145000000.0,269806430.0,124806430.0,"Adventure,Animation,Comedy",Rob Minkoff
Rise of the Guardians,Nov,145000000.0,306900902.0,161900902.0,"Action,Adventure,Animation",Peter Ramsey
Sahara,Apr,145000000.0,121671925.0,-23328075.0,"Adventure,Animation,Comedy",Pierre Coré
Ghostbusters,Jul,144000000.0,229008658.0,85008658.0,"Action,Comedy,Fantasy",Paul Feig
Ghostbusters,Jun,30000000.0,295212467.0,265212467.0,"Action,Comedy,Fantasy",Paul Feig
Captain America: The First Avenger,Jul,140000000.0,370569776.0,230569776.0,"Action,Adventure,Sci-Fi",Joe Johnston
Kung Fu Panda 3,Jan,140000000.0,517599142.0,377599142.0,"Action,Adventure,Animation",Jennifer Yuh Nelson
G.I. Joe: Retaliation,Mar,140000000.0,375740705.0,235740705.0,"Action,Adventure,Sci-Fi",Jon M. Chu
Exodus: Gods and Kings,Dec,140000000.0,268314513.0,128314513.0,"Action,Adventure,Drama",Ridley Scott
The BFG,Jul,140000000.0,199646680.0,59646680.0,"Adventure,Family,Fantasy",Steven Spielberg
Gods of Egypt,Feb,140000000.0,138836756.0,-1163244.0,"Action,Adventure,Fantasy",Alex Proyas
Stealth,Jul,138000000.0,76416746.0,-61583254.0,"Action,Comedy",Landen Wakil
The Croods,Mar,135000000.0,573068425.0,438068425.0,"Action,Adventure,Animation",Kirk DeMicco
The Revenant,Dec,135000000.0,532938302.0,397938302.0,"Action,Adventure,Biography",Alejandro G. Iñárritu
Rango,Mar,135000000.0,245724600.0,110724600.0,"Adventure,Animation,Comedy",Gore Verbinski
Turbo,Jul,135000000.0,286896578.0,151896578.0,"Adventure,Animation,Comedy",David Soren
Teenage Mutant Ninja Turtles: Out of the Shadows,Jun,135000000.0,245328374.0,110328374.0,"Action,Adventure,Comedy",Dave Green
Happy Feet Two,Nov,135000000.0,157956466.0,22956466.0,"Adventure,Animation,Comedy",George Miller
The Nutcracker and the Four Realms,Nov,132900000.0,170293899.0,37393899.0,"Adventure,Family,Fantasy",Lasse Hallström
War of the Worlds,Jun,132000000.0,606836535.0,474836535.0,Sci-Fi,Christopher H. Baum
Penguins of Madagascar,Nov,132000000.0,366942531.0,234942531.0,"Adventure,Animation,Comedy",Eric Darnell
The Hunger Games: Catching Fire,Nov,130000000.0,864868047.0,734868047.0,"Action,Adventure,Sci-Fi",Francis Lawrence
Ant-Man and the Wasp,Jul,130000000.0,623144660.0,493144660.0,"Action,Adventure,Comedy",Peyton Reed
Ant-Man,Jul,130000000.0,518858449.0,388858449.0,"Action,Adventure,Comedy",Peyton Reed
Home,Mar,130000000.0,385997896.0,255997896.0,Drama,Muzaffer Özdemir
Home,Apr,500000.0,44793168.0,44293168.0,Drama,Muzaffer Özdemir
Mary Poppins Returns,Dec,130000000.0,341528518.0,211528518.0,"Comedy,Family,Fantasy",Rob Marshall
Puss in Boots,Oct,130000000.0,554987477.0,424987477.0,"Action,Adventure,Animation",Chris Miller
Rio 2,Apr,130000000.0,492846291.0,362846291.0,"Adventure,Animation,Comedy",Carlos Saldanha
Salt,Jul,130000000.0,290650494.0,160650494.0,"Action,Mystery,Thriller",Phillip Noyce
Noah,Mar,130000000.0,352831065.0,222831065.0,Animation,John Stronach
The Adventures of Tintin,Dec,130000000.0,373993951.0,243993951.0,"Action,Adventure,Animation",Steven Spielberg
After Earth,May,130000000.0,251499665.0,121499665.0,"Action,Adventure,Drama",M. Night Shyamalan
R.I.P.D.,Jul,130000000.0,79076678.0,-50923322.0,"Action,Adventure,Comedy",Robert Schwentke
How to Train Your Dragon: The Hidden World,Feb,129000000.0,519258283.0,390258283.0,"Action,Adventure,Animation",Dean DeBlois
Dinosaur,May,127500000.0,356148063.0,228648063.0,Animation,Jason Stamp
Night at the Museum: Secret of the Tomb,Dec,127000000.0,353756621.0,226756621.0,"Adventure,Comedy,Family",Shawn Levy
The Hunger Games: Mockingjay - Part 1,Nov,125000000.0,766575131.0,641575131.0,"Action,Adventure,Sci-Fi",Francis Lawrence
Fast Five,Apr,125000000.0,630163454.0,505163454.0,"Action,Crime,Thriller",Justin Lin
Teenage Mutant Ninja Turtles,Aug,125000000.0,485004754.0,360004754.0,"Action,Adventure,Comedy",Jonathan Liebesman
Teenage Mutant Ninja Turtles,Mar,13500000.0,202000000.0,188500000.0,"Action,Adventure,Comedy",Jonathan Liebesman
Sherlock Holmes: A Game of Shadows,Dec,125000000.0,535663443.0,410663443.0,"Action,Adventure,Crime",Guy Ritchie
Clash of the Titans,Apr,125000000.0,493214888.0,368214888.0,"Action,Adventure,Fantasy",Louis Leterrier
Clash of the Titans,Jun,15000000.0,44400000.0,29400000.0,"Action,Adventure,Fantasy",Louis Leterrier
Prometheus,Jun,125000000.0,402448265.0,277448265.0,"Adventure,Mystery,Sci-Fi",Ridley Scott
The Bourne Legacy,Aug,125000000.0,280355920.0,155355920.0,"Action,Adventure,Thriller",Tony Gilroy
Skyscraper,Jul,125000000.0,304115534.0,179115534.0,"Action,Adventure,Thriller",Rawson Marshall Thurber
Total Recall,Aug,125000000.0,211856088.0,86856088.0,"Action,Adventure,Mystery",Len Wiseman
